Date,Max temp,Min temp,Wind scale,Aircon index
2021-12-01,10,1,1,38 
2021-12-02,13,2,2,56 
2021-12-03,15,-1,2,58 
2021-12-04,15,3,1,64 
2021-12-05,14,2,1,83 
2021-12-06,14,2,2,64 
2021-12-07,10,0,1,58 
2021-12-08,8,0,1,78 
2021-12-09,7,2,1,118 
2021-12-10,4,1,1,164 
2021-12-11,9,-1,1,188 
2021-12-12,5,-4,2,85 
2021-12-13,6,-3,1,63 
2021-12-14,11,-3,1,93 
2021-12-15,7,1,1,128 
2021-12-16,7,-6,3,90 
2021-12-17,2,-4,2,41 
2021-12-18,9,-2,2,48 
2021-12-19,14,4,2,66 
2021-12-20,17,0,2,70 
2021-12-21,11,-2,2,76 
2021-12-22,4,-2,2,65 
2021-12-23,1,-3,2,86 
2021-12-24,-3,-9,2,59 
2021-12-25,-3,-11,1,40 
2021-12-26,1,-7,2,39 
2021-12-27,7,-4,2,53 
2021-12-28,8,-3,1,88 
2021-12-29,7,-3,2,54 
2021-12-30,9,-4,2,54 
2021-12-31,5,-4,1,66 
2022-01-01,8,-7,1,85 
2022-01-02,2,-5,2,48 
2022-01-03,4,-4,1,70 
2022-01-04,3,-3,1,88 
2022-01-05,2,-2,1,92 
2022-01-06,4,-3,1,126 
2022-01-07,4,-3,1,194 
2022-01-08,10,-2,1,169 
2022-01-09,3,-1,1,219 
2022-01-10,3,-5,2,105 
2022-01-11,2,-4,2,111 
2022-01-12,2,-3,2,114 
2022-01-13,4,-4,1,49 
2022-01-14,3,-2,1,140 
2022-01-15,7,-5,2,142 
2022-01-16,2,-6,2,43 
2022-01-17,6,-5,1,62 
2022-01-18,6,-5,1,80 
2022-01-19,-2,-4,2,126 
2022-01-20,-2,-3,2,51 
2022-01-21,-2,-3,1,77 
2022-01-22,-2,-4,1,93 
2022-01-23,0,-2,2,142 
2022-01-24,0,-4,2,167 
2022-01-25,3,-3,1,202 
2022-01-26,0,-4,2,186 
2022-01-27,2,-3,1,127 
2022-01-28,0,-4,1,127 
2022-01-29,3,-4,1,146 
2022-01-30,3,-2,2,217 
2022-01-31,5,-5,3,83 
2022-02-01,3,-6,2,50 
2022-02-02,4,-5,1,64 
2022-02-03,5,-5,1,72 
2022-02-04,3,-6,1,43 
2022-02-05,6,-4,1,42 
2022-02-06,4,-3,1,41 
2022-02-07,5,-4,1,53 
2022-02-08,9,-3,1,65 
2022-02-09,8,-2,1,85 
2022-02-10,10,-1,2,89 
2022-02-11,7,-2,1,110 
2022-02-12,4,-4,2,138 
2022-02-13,-3,-7,2,72 
2022-02-14,-1,-6,2,63 
2022-02-15,-1,-7,2,42 
2022-02-16,0,-5,2,59 
2022-02-17,0,-5,2,50 
2022-02-18,1,-4,1,59 
2022-02-19,3,-5,2,40 
2022-02-20,7,-4,2,45 
2022-02-21,4,-5,1,45 
2022-02-22,4,-4,2,51 
2022-02-23,7,-4,1,64 
2022-02-24,11,-1,1,91 
2022-02-25,17,3,1,110 
2022-02-26,14,3,2,53 
2022-02-27,17,5,1,72 
2022-02-28,16,2,3,107 
2022-03-01,12,5,2,39 
2022-03-02,17,6,2,57 
2022-03-03,15,8,2,81 
2022-03-04,17,1,4,163 
2022-03-05,13,1,2,64 
2022-03-06,10,4,1,83 
2022-03-07,19,4,2,82 
2022-03-08,20,6,2,92 
2022-03-09,17,7,2,131 
2022-03-10,22,9,1,147 
2022-03-11,13,6,2,163 
2022-03-12,11,6,1,106 
2022-03-13,12,6,2,141 
2022-03-14,23,9,2,143 
2022-03-15,19,9,2,146 
2022-03-16,11,1,3,111 
2022-03-17,3,0,2,48 
2022-03-18,3,-2,2,54 
2022-03-19,6,-1,2,66 
2022-03-20,10,2,2,95 
2022-03-21,10,6,1,125 
2022-03-22,7,3,2,96 
2022-03-23,17,6,2,107 
2022-03-24,11,7,1,129 
2022-03-25,13,6,2,131 
2022-03-26,23,4,3,112 
2022-03-27,16,4,3,59 
2022-03-28,17,8,3,78 
2022-03-29,14,8,2,104 
2022-03-30,10,4,2,98 
2022-03-31,19,3,2,60 
2022-04-01,16,6,2,58 
2022-04-02,19,5,2,50 
2022-04-03,16,8,2,59 
2022-04-04,24,11,2,93 
2022-04-05,27,9,2,94 
2022-04-06,13,6,2,73 
2022-04-07,27,10,2,84 
2022-04-08,27,13,2,111 
2022-04-09,26,14,2,119 
2022-04-10,29,16,2,120 
2022-04-11,27,13,3,116 
2022-04-12,20,8,2,73 
2022-04-13,19,10,2,56 
2022-04-14,19,9,1,72 
2022-04-15,17,7,2,56 
2022-04-16,22,9,2,58 
2022-04-17,20,12,2,77 
2022-04-18,22,9,2,90 
2022-04-19,27,15,2,60 
2022-04-20,29,15,2,76 
2022-04-21,31,12,3,124 
2022-04-22,21,11,3,69 
2022-04-23,29,17,3,86 
2022-04-24,27,16,2,111 
2022-04-25,27,17,2,121 
2022-04-26,26,12,3,124 
2022-04-27,17,9,3,70 
2022-04-28,14,7,2,49 
2022-04-29,17,12,2,71 
2022-04-30,21,13,2,59 
2022-05-01,28,13,3,60 
2022-05-02,28,16,2,70 
2022-05-03,34,17,2,79 
2022-05-04,34,19,2,93 
2022-05-05,30,17,3,81 
2022-05-06,22,11,3,102 
2022-05-07,14,10,2,49 
